folio,foliohog,id_cagua,cagua_tipo,cagua_capa,cagua_adqu,cagua_anio,cagua_mant
1,1,1,7,4,1,6,4
2,1,1,7,3,1,2,4
3,1,1,1,3,1,15,2
4,1,1,7,3,1,8,3
5,1,1,7,3,1,3,4
7,1,1,7,3,1,2,4
9,1,1,1,1,1,10,4
10,1,1,3, ,1,99,4
12,1,1,7,9,2,99,4
14,1,1,1,9,1,99,4
15,1,1,7,9,1,4,4
16,1,1,4, ,1,2,2
20,1,1,1,2,1,5,4
21,1,1,1,3,1,30,2
22,1,1,7,2,1,3,1
23,1,1,1,2,1,15,2
24,1,1,7,2,1,10,4
27,1,1,7,3,1,1,4
28,1,1,1,3,1,8,2
29,1,1,1,3,1,20,3
32,1,1,1,2,1,6,3
33,1,1,1,3,2,99,1
34,1,1,7,4,1,2,4
36,1,1,1,2,1,20,4
37,1,1,7,5,1,4,3
38,1,1,7,3,1,3,4
39,1,1,1,9,1,9,2
40,1,1,1,2,1,22,4
41,1,1,7,9,1,1,4
42,1,1,1,9,1,3,4
43,1,1,1,9,1,2,2
44,1,1,1,1,1,2,1
46,1,1,7,1,1,1,4
47,1,1,7,4,1,1,4
48,1,1,7,9,2,99,4
49,1,1,7,5,1,5,4
50,1,1,7,6,1,15,3
52,1,1,1,3,1,15,4
53,1,1,1,3,1,15,2
55,1,1,1,3,2,99,4
56,1,1,1,2,1,10,1
57,1,1,1,3,1,2,4
58,1,1,7,6,1,1,4
59,1,1,7,4,1,1,4
60,1,1,1,4,1,10,3
61,1,1,1,3,2,6,2
62,1,1,1,1,1,3,1
63,1,1,1,2,1,6,4
63,1,2,7,3,1,1,4
64,1,2,7,3,1,3,2
64,1,1,1,3,1,3,2
65,1,1,1,2,1,10,2
66,1,1,1,3,2,15,1
69,1,1,7,1,1,2,4
70,1,1,2, ,1,1,1
70,1,2,2, ,1,1,1
77,1,1,1,4,2,99,4
78,1,1,1,3,2,20,3
79,1,1,2, ,2,12,2
80,1,1,1,3,2,4,1
80,1,2,7,3,2,5,2
81,1,1,1,1,2,10,2
82,1,1,1,3,2,99,4
83,1,1,1,2,2,99,4
84,1,1,7,3,1,1,4
86,1,1,7,9,2,99,4
89,1,1,1,9,2,99,4
90,1,1,1,3,1,5,4
91,1,1,7,3,1,6,4
92,1,1,1,3,1,15,1
93,1,1,7,4,1,5,4
94,1,1,7,3,1,3,1
95,1,1,1,3,1,20,1
96,1,1,1,5,1,2,4
97,1,1,1,4,1,2,1
98,1,1,1,3,2,10,4
99,1,1,7,4,1,3,1
100,1,1,7,6,1,5,1
101,1,1,1,9,1,14,1
102,1,1,7,3,1,6,1
104,1,2,7,2,1,6,2
104,1,1,1,1,1,12,1
105,1,1,7,2,1,10,2
106,1,1,7,3,1,99,4
108,1,1,1,3,1,12,4
109,1,1,7,3,1,10,4
111,1,1,7,4,1,2,1
112,1,1,1,3,2,25,2
113,1,1,7,3,1,3,4
114,1,1,1,9,1,99,4
116,1,1,2, ,1,6,4
117,1,1,2, ,1,99,1
118,1,1,2, ,1,5,4
121,1,1,3, ,1,1,4
122,1,1,3, ,1,5,1
125,1,1,1,3,2,20,4
126,1,1,2, ,1,2,2
127,1,1,7,4,1,8,4
128,1,1,1,1,1,2,1
129,1,1,1,3,1,15,4
130,1,1,7,4,1,12,4
131,1,1,1,3,1,7,2
132,1,1,1,9,1,1,4
133,1,1,1,1,2,99,4
134,1,1,1,4,2,8,4
135,1,1,2, ,1,5,4
136,1,1,7,5,1,10,2
137,1,1,1,1,1,2,1
138,1,1,7,4,1,1,1
140,1,1,7,3,1,7,4
141,1,1,7,3,1,4,4
143,1,1,1,3,1,10,4
144,1,1,7,3,1,3,4
148,1,1,1,1,1,5,2
149,1,1,1,1,2,99,4
150,1,1,1,9,1,3,4
151,1,1,1,9,2,99,4
153,1,1,1,1,2,2,4
154,1,1,1,9,1,9,4
155,1,1,1,1,2,99,4
156,1,1,1,9,1,3,1
157,1,1,1,1,2,99,4
158,1,1,1,9,1,99,4
159,1,1,7,3,1,3,4
160,1,1,7,3,1,3,4
161,1,1,5,5,1,4,1
162,1,1,7,3,1,3,2
163,1,1,1,3,1,2,1
165,1,1,1,4,1,10,1
166,1,1,7,3,1,2,4
168,1,1,7,4,1,3,2
169,1,1,7,4,1,10,3
170,1,1,1,2,1,4,3
171,1,1,2, ,1,1,4
172,1,2,3, ,1,5,4
172,1,1,3, ,1,5,4
173,1,1,1,3,1,15,1
174,1,1,2, ,1,2,1
174,1,2,7,5,1,5,1
175,1,1,3, ,2,6,2
176,1,1,1,3,2,99,4
177,1,1,1,3,2,6,3
178,1,1,7,5,1,4,3
179,1,1,1,4,1,5,2
179,1,2,7,5,1,4,2
180,1,1,1,1,1,5,1
181,1,1,1,1,1,10,1
182,1,1,4, ,1,1,4
183,1,1,7,1,1,2,4
186,1,1,1,1,2,99,4
187,1,2,7,3,1,5,4
187,1,1,3, ,1,5,4
188,1,1,1,1,1,8,1
189,1,1,7,2,1,4,4
190,1,1,7,3,1,7,2
191,1,1,1,3,1,24,1
192,1,1,3, ,1,12,2
196,1,1,7,5,1,2,2
197,1,1,1,2,1,18,4
198,1,1,1,3,1,2,2
200,1,1,1,3,1,15,3
201,1,1,2, ,1,2,2
202,1,1,1,2,1,7,4
205,1,1,7,9,1,3,4
206,1,1,1,3,1,6,1
207,1,1,7,3,1,2,4
208,1,1,7,9,1,99,4
213,1,1,1,9,1,1,1
215,1,1,1,9,2,10,1
220,1,1,1,3,2,6,1
221,1,2,7,4,1,2,1
221,1,1,1,4,1,2,4
222,1,1,7,3,1,1,4
223,1,1,1,2,1,2,4
224,1,1,1,9,1,10,2
225,1,1,3, ,1,3,2
226,1,1,7,2,1,2,4
227,1,1,3, ,2,2,1
230,1,1,3, ,1,2,1
232,1,1,7,3,1,3,4
233,1,1,7,2,1,2,2
234,1,1,7,3,1,3,1
235,1,1,3, ,1,2,1
236,1,1,7,4,1,5,2
237,1,1,1,3,2,3,3
238,1,1,1,1,2,2,4
239,1,1,7,3,1,3,1
241,1,1,7,4,1,2,2
242,1,1,7,2,2,5,1
244,1,1,1,3,2,99,4
245,1,1,7,6,1,3,2
246,1,1,1,4,1,12,3
247,1,1,7,5,1,6,3
250,1,1,2, ,1,2,4
251,1,1,7,4,1,1,4
252,1,1,1,9,1,5,1
253,1,1,1,9,2,99,4
254,1,1,7,5,1,2,4
255,1,1,7,3,1,5,2
256,1,1,3, ,1,10,2
257,1,1,7,1,1,2,4
258,1,1,1,3,1,9,1
259,1,1,7,3,1,5,4
260,1,1,1,3,1,35,4
261,1,1,3, ,1,99,4
262,1,1,1,2,2,5,1
264,1,1,1,1,1,1,4
266,1,1,1,2,1,8,4
267,1,1,7,4,1,1,4
268,1,1,3, ,1,2,2
271,1,1,1,4,1,15,1
279,1,1,1,3,2,4,4
280,1,1,1,3,2,99,4
284,1,1,7,5,1,2,4
287,1,1,1,1,2,4,1
301,1,1,1,4,1,6,2
302,1,1,1,1,1,25,4
303,1,1,1,4,1,5,4
304,1,1,1,3,1,5,1
304,1,2,7,1,1,3,4
305,1,1,1,1,1,20,4
306,1,1,1,3,1,10,4
307,1,1,7,3,1,2,1
308,1,1,1,1,1,20,1
308,1,2,7,3,1,2,2
309,1,1,1,3,1,2,4
311,1,1,1,2,1,12,4
312,1,2,7,3,1,2,4
312,1,1,1,3,1,14,4
313,1,1,7,4,1,2,4
314,1,1,7,3,1,1,4
316,1,1,7,2,1,7,4
317,1,1,1,1,2,2,2
318,1,1,7,4,1,4,4
328,1,1,7,3,1,4,4
332,1,1,1,3,1,10,2
336,1,1,7,2,1,1,4
347,1,1,7,3,2,10,2
