folio,foliohog,id_calefac,calef_tipo,calef_otro,calef_dia,calef_hor,calef_min,calef_adqu,calef_anio
28,1,1,1, ,10,03,00,1,09
39,1,1,2, ,30,08,00,1,01
57,1,1,3, ,6,01,00,1,10
58,1,1,3, ,30,04,00,1,04
68,1,1,1, ,60,03,00,1,01
70,1,1,3, ,20,04,00,1,02
70,1,2,2, ,5,10,00,1,01
98,1,1,2, ,20,04,00,1,01
99,1,1,3, ,40,08,00,1,02
100,1,1,3, ,15,02,00,1,15
105,1,1,4, ,5,02,00,1,04
111,1,1,4, ,30,01,00,1,10
122,1,1,1, ,1,01,00,1,02
132,1,1,2, ,60,02,00,1,01
161,1,1,1, ,90,04,00,1,08
161,1,2,1, ,90,04,00,1,08
195,1,1,2, ,60,08,00,1,02
197,1,1,2, ,60,06,00,1,10
207,1,1,3, ,30,02,00,1,02
264,1,1,2, ,30,08,00,1,01
281,1,1,2, ,60,01,00,1,01
309,1,1,2, ,60,08,00,2,06
313,1,1,3, ,60,08,00,2,02
313,1,2,3, ,60,04,00,2,02
314,1,1,3, ,20,01,00,1,03
363,1,1,1, ,30,02,00,1,05
418,1,1,1, ,15,00,30,1,01
426,1,1,2, ,60,02,00,1,01
457,1,1,2, ,8,02,00,1,01
490,1,1,3, ,6,02,00,1,06
497,1,1,1, ,70,03,00,1,08
502,1,1,4, ,2,07,00,1,03
534,1,1,4, ,4,01,00,1,01
550,1,1,2, ,8,08,00,1,08
589,1,1,4, ,30,02,00,1,04
593,1,1,2, ,30,02,00,1,04
623,1,1,2, ,30,04,00,2,01
670,1,1,1, ,2,03,00,1,03
676,1,1,3, ,6,01,00,1,03
688,1,1,3, ,7,01,00,1,03
706,1,1,1, ,15,02,00,1,01
706,1,2,3, ,30,02,00,1,02
750,1,1,5,PORTATIL,30,03,00,1,01
765,1,1,4, ,30,01,00,1,07
767,1,1,3, ,20,01,00,1,02
797,1,1,1, ,30,01,00,1,05
827,1,1,1, ,1,05,00,1,05
837,1,1,2, ,15,06,00,2,99
857,1,1,3, ,30,08,00,1,02
858,1,2,3, ,30,01,00,1,05
858,1,1,1, ,30,00,30,1,05
861,1,1,1, ,15,01,00,1,02
871,1,1,3, ,30,05,00,1,01
879,1,1,1, ,60,12,00,1,05
881,1,1,2, ,30,01,00,1,01
882,1,1,3, ,30,00,30,1,01
883,1,1,2, ,10,02,00,1,01
932,1,1,2, ,30,01,00,1,04
933,1,1,2, ,20,00,30,1,01
973,1,1,4, ,15,02,00,1,01
975,1,1,1, ,30,03,00,1,02
991,1,1,3, ,30,01,00,1,01
998,1,1,3, ,2,01,00,2,02
1006,1,1,3, ,60,01,00,1,03
1009,1,1,1, ,30,06,00,1,01
1034,1,1,1, ,30,07,00,1,02
1054,1,1,3, ,90,01,00,1,05
1055,1,1,2, ,90,04,00,1,08
1114,1,1,2, ,60,01,00,1,03
1124,1,1,4, ,15,02,00,1,02
1141,1,2,2, ,60,03,00,1,02
1141,1,1,1, ,60,03,00,1,03
1156,1,1,1, ,15,02,00,1,01
1157,1,1,3, ,20,02,00,2,02
1160,1,1,3, ,45,12,00,1,01
1161,1,1,2, ,30,01,00,1,07
1171,1,1,3, ,4,04,00,1,02
1181,1,1,1, ,30,12,00,1,05
1221,1,1,4, ,90,06,00,2,03
1224,1,1,2, ,7,06,00,1,01
1225,1,1,2, ,7,02,00,1,02
1234,1,1,2, ,90,02,00,1,06
1244,1,1,2, ,2,06,00,1,06
1247,1,1,2, ,90,03,00,2,08
1253,1,1,2, ,7,03,00,1,01
1256,1,1,1, ,90,01,00,1,08
1269,1,1,1, ,2,00,02,1,08
1277,1,1,3, ,30,02,00,2,01
1280,1,1,1, ,90,02,00,1,02
1288,1,1,2, ,2,01,00,2,04
1306,1,1,3, ,30,99,99,1,01
1340,1,1,3, ,30,02,00,1,04
1358,1,1,3, ,30,00,30,2,03
1372,1,1,2, ,3,03,00,1,02
1373,1,1,4, ,36,03,00,1,08
1375,1,1,1, ,15,04,00,2,02
1377,1,1,1, ,15,12,00,1,01
1396,1,1,3, ,7,04,00,1,01
1403,1,1,2, ,30,01,30,1,08
1421,1,1,3, ,14,00,30,1,10
1428,1,1,3, ,20,03,00,1,03
1449,1,1,4, ,20,00,30,1,02
1521,1,1,2, ,30,04,00,1,03
1532,1,1,1, ,8,04,00,2,01
1533,1,1,5,MINI SPLIT,12,03,00,1,01
1546,1,1,2, ,15,04,00,2,01
1559,1,1,2, ,15,01,00,2,01
1563,1,1,3, ,30,02,00,2,04
1564,1,1,2, ,22,03,00,1,03
1565,1,1,2, ,60,03,00,1,03
1565,1,2,2, ,60,02,30,1,03
1569,1,1,2, ,24,00,15,1,02
1595,1,1,2, ,1,01,00,2,01
1607,1,1,3, ,30,00,20,1,05
1724,1,1,4, ,30,02,00,1,10
1726,1,1,4, ,30,06,00,1,01
1727,1,1,2, ,16,02,00,1,06
1746,1,1,2, ,12,05,00,2,01
1747,1,1,2, ,7,00,30,1,04
1842,1,2,1, ,3,04,00,1,03
1842,1,1,1, ,3,04,00,1,06
1896,1,1,1, ,60,08,00,1,01
1984,1,1,1, ,120,05,00,1,02
2301,1,1,1, ,20,01,00,1,10
2437,1,1,2, ,90,08,00,1,03
3212,1,1,2, ,30,00,30,1,20
3540,1,1,4, ,60,04,00,2,02
3541,1,2,4, ,90,12,00,1,05
3541,1,1,4, ,3,12,00,1,05
3542,1,1,4, ,60,02,00,1,05
3543,1,1,4, ,90,02,00,1,02
3559,1,1,5,MINISPLIT,120,10,00,1,02
3560,1,1,5,UTILIZO UN MINISPLIT ENCENDIDO Y APAGADO NO LO UTILLIZO PARA AIRE ACONDICIONADO,90,24,00,1,01
3561,1,2,5,MINISPLIT INVERTER,90,03,00,1,04
3561,1,4,4, ,90,01,00,1,02
3561,1,3,5,MINISPLIT INVERTER,90,03,00,1,04
3561,1,1,5,MINISPLIT INVERTER,90,03,00,1,04
3562,1,4,5,MINISPLIT INVERTER,24,02,00,1,02
3562,1,3,4, ,14,02,00,1,07
3562,1,2,4, ,120,00,20,1,09
3562,1,1,4, ,30,03,00,1,09
3564,1,1,2, ,120,00,30,1,08
3568,1,2,5,MINISPLIT INVERTER,120,06,00,1,02
3568,1,1,5,MINISPLIT INVERTER,120,03,00,1,04
3569,1,1,5,DE LEÑA,60,06,00,2,02
3569,1,2,5,MINISPLI  DE ENCENDIDO Y APAGADO,20,08,00,1,01
3570,1,2,5,MINISPLIT PAGADO Y ENCENDIDO,90,05,00,1,01
3570,1,1,5,MINISPLIT APAGADOY ENCENDIDO,90,08,00,1,03
3571,1,1,5,CALEACTOR DE LE?A,30,24,00,1,02
3572,1,1,4, ,60,04,00,1,10
3575,1,1,5,CON LE?A,90,05,00,2,01
3577,1,1,1, ,30,12,00,1,12
3578,1,1,4, ,10,02,00,2,01
3579,1,1,4, ,60,01,00,1,09
3580,1,1,2, ,60,03,00,1,02
3581,1,1,4, ,120,05,00,1,04
3584,1,1,4, ,60,01,00,1,15
3588,1,1,4, ,90,02,00,1,01
3589,1,4,5,MINISPLIT ENCENDIDO-APAGADO,30,02,00,1,01
3589,1,3,5,MINISPLIT ENCENDIDO-APAGADO,10,00,30,1,02
3589,1,2,4, ,60,03,00,1,03
3589,1,1,4, ,60,03,00,1,04
3593,1,1,2, ,90,02,00,1,10
3597,1,1,4, ,60,02,00,1,03
3598,1,1,4, ,60,07,00,1,03
3599,1,1,4, ,60,08,00,1,08
3599,1,2,5,MINISPLIT,30,10,00,1,05
3600,1,1,4, ,60,04,00,1,08
3602,1,1,1, ,30,02,00,1,05
3602,1,2,1, ,30,02,00,1,05
3603,1,2,5,MINISPLIT ENCENDIDO APAGADO,5,01,00,1,07
3603,1,1,5,MINISPLIT INVERTER,20,02,00,1,02
3604,1,2,5,MINISPLIN INTERVER,30,01,00,1,06
3604,1,1,5,MINISPLIN INVERTER,30,01,00,1,04
3605,1,1,1, ,60,01,00,1,10
3606,1,1,2, ,70,03,00,2,01
3607,1,2,5,MINISPLIT,50,05,00,1,07
3607,1,1,4, ,50,04,00,1,06
3607,1,3,5,MINISPLIT,50,05,00,1,07
3607,1,4,5,MINISPLIT,50,05,00,1,07
3608,1,1,4, ,30,03,00,1,36
3610,1,1,4, ,30,04,00,1,03
3610,1,2,5,MINISPLIT,30,08,00,1,07
3610,1,3,5,MINISPLIT,30,08,00,1,07
3611,1,1,4, ,10,03,00,1,07
3612,1,4,5,MINISPLIT,1,04,00,1,04
3612,1,3,5,MINISPLIT,4,01,00,1,07
3612,1,2,5,MINISPLIT,4,05,00,1,04
3612,1,1,4, ,8,08,00,2,25
3614,1,2,5,MINISPLIT INVERTER,45,03,00,2,02
3614,1,1,5,MINISPLIT INVERTER,40,03,00,2,02
3614,1,3,5,MINISPLIT INVERTER,45,05,00,2,02
3614,1,4,5,MINISPLIT INVERTER,45,08,00,2,02
3615,1,1,2, ,120,08,00,1,02
3620,1,1,4, ,30,03,00,1,10
3621,1,1,4, ,90,02,00,1,02
3623,1,1,5,COMENTA INFORMANTE QUE USA EL MINISPLIT CON ENCENDIDO Y APAGADO,60,04,00,1,01
3623,1,3,5,USA EL MINISPLIT DE ENCENDIDO Y APAGADO PARA TEMPERATURA CALIENTE,60,04,00,1,01
3623,1,2,5,USA EL MINISPLIT CON ENCENDIDO Y APAGADO,60,04,00,1,01
3627,1,1,4, ,60,04,00,1,20
3630,1,1,4, ,50,03,00,1,05
3635,1,2,4, ,15,03,00,1,05
3635,1,1,4, ,15,02,00,1,05
3635,1,4,5,MINIPLIST ENCENDIDO PAGADO,15,01,30,1,03
3635,1,3,5,MINIPLIST ENCENDIDO Y APAGADO,15,01,30,1,03
3637,1,1,5,MINISPLIT,20,02,00,1,03
3639,1,1,4, ,30,00,40,1,03
3644,1,1,2, ,40,03,00,1,01
3645,1,1,2, ,90,01,30,1,05
3647,1,1,4, ,60,07,00,2,01
3648,1,1,5,MINISPLIT DE ENCENDIDO,60,01,00,1,01
3648,1,2,5,MINISPLIT DE ENCENDIDO,60,01,00,1,01
3649,1,1,4, ,90,12,00,1,08
3649,1,2,4, ,90,03,00,1,05
3650,1,1,1, ,90,04,00,1,06
3650,1,2,1, ,90,04,00,1,06
3651,1,1,5,CENTRAL,90,06,00,1,02
3652,1,1,4, ,60,06,00,1,02
3654,1,1,5,CENTRAL,90,04,00,1,04
3654,1,2,5,CENTRAL,90,03,00,1,04
3656,1,1,4, ,999,04,00,2,99
3658,1,1,2, ,30,02,00,2,99
3663,1,1,3, ,90,11,00,1,01
3666,1,1,2, ,60,03,00,1,01
3667,1,1,2, ,90,03,00,2,01
3668,1,1,4, ,40,05,00,1,08
3669,1,1,2, ,60,00,30,1,05
3673,1,1,4, ,60,04,00,1,02
3674,1,1,2, ,90,03,00,2,09
3675,1,2,2, ,60,01,00,1,01
3675,1,3,2, ,60,02,00,1,01
3675,1,1,4, ,60,03,00,2,01
3676,1,1,4, ,90,04,00,1,03
3680,1,1,2, ,12,02,00,1,02
3683,1,1,3, ,60,02,00,1,01
3688,1,2,4, ,30,02,00,1,12
3688,1,1,4, ,60,04,00,1,12
3689,1,2,3, ,60,04,00,1,03
3689,1,1,3, ,60,04,00,1,03
3691,1,2,4, ,60,02,00,1,03
3691,1,1,4, ,60,02,00,1,02
3697,1,1,4, ,15,03,00,2,05
3701,1,1,4, ,30,02,00,1,04
3701,1,2,5,MINISPLIT ENCENDIDO Y APAGADO,3,01,00,1,01
3704,1,1,1, ,60,03,00,1,06
3704,1,2,4, ,90,05,00,1,08
3704,1,3,4, ,90,04,00,1,02
