folio,foliohog,id_cagua,cagua_tipo,cagua_capa,cagua_adqu,cagua_anio,cagua_mant,cagua_tipo_desc,cagua_adqu_desc,cagua_mant_desc,cagua_capa_desc
1,1,1,7,4,1,6,4,Solar,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
2,1,1,7,3,1,2,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
3,1,1,1,3,1,15,2,De gas con deposito,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
4,1,1,7,3,1,8,3,Solar,Nuevo,Cada 2 años,De 70 a 80 litros (hasta 4 personas)
5,1,1,7,3,1,3,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
7,1,1,7,3,1,2,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
9,1,1,1,1,1,10,4,De gas con deposito,Nuevo,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
10,1,1,3,0,1,99,4,De gas instantáneo de paso,Nuevo,No le da mantenimiento,
12,1,1,7,9,2,99,4,Solar,Usado,No le da mantenimiento,No sabe
14,1,1,1,9,1,99,4,De gas con deposito,Nuevo,No le da mantenimiento,No sabe
15,1,1,7,9,1,4,4,Solar,Nuevo,No le da mantenimiento,No sabe
16,1,1,4,0,1,2,2,Eléctrico instantáneo de paso,Nuevo,Cada año,
20,1,1,1,2,1,5,4,De gas con deposito,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
21,1,1,1,3,1,30,2,De gas con deposito,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
22,1,1,7,2,1,3,1,Solar,Nuevo,Cada 6 meses,De 50 a 60 litros (hasta 3 personas)
23,1,1,1,2,1,15,2,De gas con deposito,Nuevo,Cada año,De 50 a 60 litros (hasta 3 personas)
24,1,1,7,2,1,10,4,Solar,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
27,1,1,7,3,1,1,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
28,1,1,1,3,1,8,2,De gas con deposito,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
29,1,1,1,3,1,20,3,De gas con deposito,Nuevo,Cada 2 años,De 70 a 80 litros (hasta 4 personas)
32,1,1,1,2,1,6,3,De gas con deposito,Nuevo,Cada 2 años,De 50 a 60 litros (hasta 3 personas)
33,1,1,1,3,2,99,1,De gas con deposito,Usado,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
34,1,1,7,4,1,2,4,Solar,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
36,1,1,1,2,1,20,4,De gas con deposito,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
