folio,foliohog,id_calefac,calef_tipo,calef_otro,calef_dia,calef_hor,calef_min,calef_adqu,calef_anio,calef_tipo_desc,calef_adqu_desc
28,1,1,1, ,10,3,0,1,9,Eléctrico con aceite térmico,Nuevo
39,1,1,2, ,30,8,0,1,1,Eléctrico de resistencia,Nuevo
57,1,1,3, ,6,1,0,1,10,Eléctrico de torre,Nuevo
58,1,1,3, ,30,4,0,1,4,Eléctrico de torre,Nuevo
68,1,1,1, ,60,3,0,1,1,Eléctrico con aceite térmico,Nuevo
70,1,1,3, ,20,4,0,1,2,Eléctrico de torre,Nuevo
70,1,2,2, ,5,10,0,1,1,Eléctrico de resistencia,Nuevo
98,1,1,2, ,20,4,0,1,1,Eléctrico de resistencia,Nuevo
99,1,1,3, ,40,8,0,1,2,Eléctrico de torre,Nuevo
100,1,1,3, ,15,2,0,1,15,Eléctrico de torre,Nuevo
105,1,1,4, ,5,2,0,1,4,De gas,Nuevo
111,1,1,4, ,30,1,0,1,10,De gas,Nuevo
122,1,1,1, ,1,1,0,1,2,Eléctrico con aceite térmico,Nuevo
132,1,1,2, ,60,2,0,1,1,Eléctrico de resistencia,Nuevo
161,1,1,1, ,90,4,0,1,8,Eléctrico con aceite térmico,Nuevo
161,1,2,1, ,90,4,0,1,8,Eléctrico con aceite térmico,Nuevo
195,1,1,2, ,60,8,0,1,2,Eléctrico de resistencia,Nuevo
197,1,1,2, ,60,6,0,1,10,Eléctrico de resistencia,Nuevo
207,1,1,3, ,30,2,0,1,2,Eléctrico de torre,Nuevo
264,1,1,2, ,30,8,0,1,1,Eléctrico de resistencia,Nuevo
281,1,1,2, ,60,1,0,1,1,Eléctrico de resistencia,Nuevo
309,1,1,2, ,60,8,0,2,6,Eléctrico de resistencia,Usado
313,1,1,3, ,60,8,0,2,2,Eléctrico de torre,Usado
313,1,2,3, ,60,4,0,2,2,Eléctrico de torre,Usado
314,1,1,3, ,20,1,0,1,3,Eléctrico de torre,Nuevo
363,1,1,1, ,30,2,0,1,5,Eléctrico con aceite térmico,Nuevo
418,1,1,1, ,15,0,30,1,1,Eléctrico con aceite térmico,Nuevo
426,1,1,2, ,60,2,0,1,1,Eléctrico de resistencia,Nuevo
457,1,1,2, ,8,2,0,1,1,Eléctrico de resistencia,Nuevo
490,1,1,3, ,6,2,0,1,6,Eléctrico de torre,Nuevo
497,1,1,1, ,70,3,0,1,8,Eléctrico con aceite térmico,Nuevo
502,1,1,4, ,2,7,0,1,3,De gas,Nuevo
534,1,1,4, ,4,1,0,1,1,De gas,Nuevo
550,1,1,2, ,8,8,0,1,8,Eléctrico de resistencia,Nuevo
589,1,1,4, ,30,2,0,1,4,De gas,Nuevo
593,1,1,2, ,30,2,0,1,4,Eléctrico de resistencia,Nuevo
623,1,1,2, ,30,4,0,2,1,Eléctrico de resistencia,Usado
670,1,1,1, ,2,3,0,1,3,Eléctrico con aceite térmico,Nuevo
676,1,1,3, ,6,1,0,1,3,Eléctrico de torre,Nuevo
688,1,1,3, ,7,1,0,1,3,Eléctrico de torre,Nuevo
706,1,1,1, ,15,2,0,1,1,Eléctrico con aceite térmico,Nuevo
706,1,2,3, ,30,2,0,1,2,Eléctrico de torre,Nuevo
750,1,1,5,PORTATIL,30,3,0,1,1,Otro tipo de calefactor (especifica),Nuevo
765,1,1,4, ,30,1,0,1,7,De gas,Nuevo
767,1,1,3, ,20,1,0,1,2,Eléctrico de torre,Nuevo
797,1,1,1, ,30,1,0,1,5,Eléctrico con aceite térmico,Nuevo
827,1,1,1, ,1,5,0,1,5,Eléctrico con aceite térmico,Nuevo
837,1,1,2, ,15,6,0,2,99,Eléctrico de resistencia,Usado
857,1,1,3, ,30,8,0,1,2,Eléctrico de torre,Nuevo
858,1,2,3, ,30,1,0,1,5,Eléctrico de torre,Nuevo
858,1,1,1, ,30,0,30,1,5,Eléctrico con aceite térmico,Nuevo
861,1,1,1, ,15,1,0,1,2,Eléctrico con aceite térmico,Nuevo
871,1,1,3, ,30,5,0,1,1,Eléctrico de torre,Nuevo
879,1,1,1, ,60,12,0,1,5,Eléctrico con aceite térmico,Nuevo
881,1,1,2, ,30,1,0,1,1,Eléctrico de resistencia,Nuevo
882,1,1,3, ,30,0,30,1,1,Eléctrico de torre,Nuevo
883,1,1,2, ,10,2,0,1,1,Eléctrico de resistencia,Nuevo
932,1,1,2, ,30,1,0,1,4,Eléctrico de resistencia,Nuevo
933,1,1,2, ,20,0,30,1,1,Eléctrico de resistencia,Nuevo
973,1,1,4, ,15,2,0,1,1,De gas,Nuevo
975,1,1,1, ,30,3,0,1,2,Eléctrico con aceite térmico,Nuevo
991,1,1,3, ,30,1,0,1,1,Eléctrico de torre,Nuevo
998,1,1,3, ,2,1,0,2,2,Eléctrico de torre,Usado
1006,1,1,3, ,60,1,0,1,3,Eléctrico de torre,Nuevo
1009,1,1,1, ,30,6,0,1,1,Eléctrico con aceite térmico,Nuevo
