folio,foliohog,id_electro,elect_uso,elect_dia,elect_hor,elect_min,elect_anio,electro_desc,uso_desc
1,1,1,1,10,0,5,2,Horno de microondas,Sí
1,1,2,1,4,0,3,4,Licuadora,Sí
1,1,3,2,0,0,0,0,Batidora,No
1,1,4,2,0,0,0,0,Cafetera,No
1,1,6,2,0,0,0,0,Parrilla eléctrica u horno eléctrico,No
1,1,10,2,0,0,0,0,Máquina de coser eléctrica,No
1,1,9,2,0,0,0,0,Secadora de ropa,No
1,1,8,2,0,0,0,0,Tenazas o plancha para el pelo,No
1,1,7,2,0,0,0,0,Secadora de pelo,No
1,1,5,2,0,0,0,0,Tostador de pan o sandwichera,No
2,1,6,2,0,0,0,0,Parrilla eléctrica u horno eléctrico,No
2,1,7,2,0,0,0,0,Secadora de pelo,No
2,1,8,2,0,0,0,0,Tenazas o plancha para el pelo,No
2,1,9,2,0,0,0,0,Secadora de ropa,No
2,1,10,2,0,0,0,0,Máquina de coser eléctrica,No
2,1,1,2,0,0,0,0,Horno de microondas,No
2,1,2,1,15,0,3,5,Licuadora,Sí
2,1,3,2,0,0,0,0,Batidora,No
2,1,5,2,0,0,0,0,Tostador de pan o sandwichera,No
2,1,4,2,0,0,0,0,Cafetera,No
3,1,10,2,0,0,0,0,Máquina de coser eléctrica,No
3,1,9,2,0,0,0,0,Secadora de ropa,No
3,1,8,1,10,0,15,0,Tenazas o plancha para el pelo,Sí
3,1,7,1,12,0,10,0,Secadora de pelo,Sí
3,1,5,1,4,0,3,0,Tostador de pan o sandwichera,Sí
3,1,4,2,0,0,0,0,Cafetera,No
3,1,3,2,0,0,0,0,Batidora,No
3,1,2,1,20,0,3,3,Licuadora,Sí
3,1,1,1,30,0,3,5,Horno de microondas,Sí
3,1,6,1,4,0,15,0,Parrilla eléctrica u horno eléctrico,Sí
4,1,3,2,0,0,0,0,Batidora,No
4,1,2,1,12,0,3,1,Licuadora,Sí
4,1,1,2,0,0,0,0,Horno de microondas,No
4,1,10,2,0,0,0,0,Máquina de coser eléctrica,No
4,1,4,2,0,0,0,0,Cafetera,No
4,1,6,2,0,0,0,0,Parrilla eléctrica u horno eléctrico,No
4,1,7,2,0,0,0,0,Secadora de pelo,No
4,1,8,2,0,0,0,0,Tenazas o plancha para el pelo,No
4,1,9,2,0,0,0,0,Secadora de ropa,No
4,1,5,2,0,0,0,0,Tostador de pan o sandwichera,No
5,1,5,2,0,0,0,0,Tostador de pan o sandwichera,No
5,1,4,2,0,0,0,0,Cafetera,No
5,1,3,2,0,0,0,0,Batidora,No
5,1,2,1,15,0,3,2,Licuadora,Sí
5,1,1,1,8,0,2,10,Horno de microondas,Sí
5,1,10,2,0,0,0,0,Máquina de coser eléctrica,No
5,1,9,2,0,0,0,0,Secadora de ropa,No
5,1,6,2,0,0,0,0,Parrilla eléctrica u horno eléctrico,No
5,1,7,2,0,0,0,0,Secadora de pelo,No
5,1,8,2,0,0,0,0,Tenazas o plancha para el pelo,No
6,1,1,2,0,0,0,0,Horno de microondas,No
6,1,10,2,0,0,0,0,Máquina de coser eléctrica,No
6,1,9,2,0,0,0,0,Secadora de ropa,No
6,1,8,2,0,0,0,0,Tenazas o plancha para el pelo,No
6,1,7,2,0,0,0,0,Secadora de pelo,No
6,1,6,2,0,0,0,0,Parrilla eléctrica u horno eléctrico,No
6,1,5,2,0,0,0,0,Tostador de pan o sandwichera,No
6,1,4,2,0,0,0,0,Cafetera,No
6,1,3,2,0,0,0,0,Batidora,No
6,1,2,1,30,0,15,10,Licuadora,Sí
7,1,1,1,8,0,5,4,Horno de microondas,Sí
7,1,8,2,0,0,0,0,Tenazas o plancha para el pelo,No
7,1,9,2,0,0,0,0,Secadora de ropa,No
7,1,10,2,0,0,0,0,Máquina de coser eléctrica,No
7,1,7,2,0,0,0,0,Secadora de pelo,No
7,1,3,2,0,0,0,0,Batidora,No
7,1,4,2,0,0,0,0,Cafetera,No
7,1,5,2,0,0,0,0,Tostador de pan o sandwichera,No
7,1,6,2,0,0,0,0,Parrilla eléctrica u horno eléctrico,No
7,1,2,1,30,0,5,1,Licuadora,Sí
8,1,10,2,0,0,0,0,Máquina de coser eléctrica,No
