foliohog,cons_med1,tipo_tarif,tarifa_desc,tipo_viv,vivienda_desc
1,261,1,01,1,Casa única del terreno
1,150,1,01,1,Casa única del terreno
1,500,1,01,1,Casa única del terreno
1,267,1,01,1,Casa única del terreno
1,420,1,01,1,Casa única del terreno
1,150,1,01,1,Casa única del terreno
1,200,1,01,1,Casa única del terreno
1,300,1,01,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,230,1,01,1,Casa única del terreno
1,200,1,01,1,Casa única del terreno
1,190,1,01,2,Casa que comparte terreno con otra(s)
1,300,1,01,1,Casa única del terreno
1,320,1,01,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,320,1,01,1,Casa única del terreno
1,49,1,01,1,Casa única del terreno
1,140,1,01,3,"Casa dúplex, triple o cuádruple"
1,136,1,01,6,Vivienda en vecindad o cuartería
1,120,1,01,1,Casa única del terreno
1,350,1,01,1,Casa única del terreno
1,864,1,01,1,Casa única del terreno
1,215,1,01,1,Casa única del terreno
1,142,1,01,1,Casa única del terreno
1,85,1,01,1,Casa única del terreno
1,180,1,01,1,Casa única del terreno
1,495,1,01,1,Casa única del terreno
1,520,1,01,1,Casa única del terreno
1,300,1,01,4,Departamento en edificio
1,250,1,01,1,Casa única del terreno
1,50,1,01,1,Casa única del terreno
1,90,1,01,1,Casa única del terreno
1,540,1,01,1,Casa única del terreno
1,120,1,01,1,Casa única del terreno
1,280,1,01,1,Casa única del terreno
1,163,1,01,1,Casa única del terreno
1,233,1,01,1,Casa única del terreno
1,430,1,01,1,Casa única del terreno
1,795,1,01,1,Casa única del terreno
1,164,1,01,1,Casa única del terreno
1,217,1,01,1,Casa única del terreno
1,99999,1,01,2,Casa que comparte terreno con otra(s)
1,691,1,01,1,Casa única del terreno
1,297,1,01,2,Casa que comparte terreno con otra(s)
1,370,1,01,2,Casa que comparte terreno con otra(s)
1,250,1,01,1,Casa única del terreno
1,260,1,01,1,Casa única del terreno
1,113,1,01,2,Casa que comparte terreno con otra(s)
1,413,1,01,1,Casa única del terreno
1,550,1,01,1,Casa única del terreno
1,160,1,01,1,Casa única del terreno
1,480,1,01,1,Casa única del terreno
1,83,1,01,4,Departamento en edificio
1,152,1,01,1,Casa única del terreno
1,106,1,01,1,Casa única del terreno
1,260,1,01,4,Departamento en edificio
1,188,1,01,1,Casa única del terreno
1,811,1,01,1,Casa única del terreno
1,93,1,01,1,Casa única del terreno
1,280,1,01,1,Casa única del terreno
1,180,1,01,1,Casa única del terreno
1,700,1,01,1,Casa única del terreno
1,551,1,01,1,Casa única del terreno
1,275,1,01,1,Casa única del terreno
1,360,1,01,1,Casa única del terreno
1,130,1,01,1,Casa única del terreno
1,60,9,No sabe,1,Casa única del terreno
1,300,1,01,1,Casa única del terreno
1,600,9,No sabe,1,Casa única del terreno
1,3000,9,No sabe,1,Casa única del terreno
1,460,9,No sabe,1,Casa única del terreno
1,150,1,01,1,Casa única del terreno
1,350,1,01,1,Casa única del terreno
1,150,1,01,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,282,1,01,1,Casa única del terreno
1,357,1,01,4,Departamento en edificio
1,400,1,01,1,Casa única del terreno
1,328,1,01,1,Casa única del terreno
1,261,1,01,1,Casa única del terreno
1,235,1,01,1,Casa única del terreno
1,200,9,No sabe,1,Casa única del terreno
1,206,1,01,1,Casa única del terreno
1,187,1,01,1,Casa única del terreno
1,310,1,01,1,Casa única del terreno
1,201,1,01,2,Casa que comparte terreno con otra(s)
1,99999,1,01,4,Departamento en edificio
1,1088,1,01,2,Casa que comparte terreno con otra(s)
1,917,1,01,1,Casa única del terreno
1,134,1,01,1,Casa única del terreno
1,198,1,01,1,Casa única del terreno
1,205,1,01,1,Casa única del terreno
1,250,1,01,1,Casa única del terreno
1,240,1,01,1,Casa única del terreno
1,187,1,01,1,Casa única del terreno
1,1500,1,01,1,Casa única del terreno
1,384,1,01,1,Casa única del terreno
1,160,1,01,4,Departamento en edificio
1,750,1,01,1,Casa única del terreno
1,300,1,01,1,Casa única del terreno
1,147,1,01,4,Departamento en edificio
1,300,1,01,1,Casa única del terreno
1,400,1,01,1,Casa única del terreno
1,241,1,01,1,Casa única del terreno
1,219,1,01,1,Casa única del terreno
1,289,1,01,1,Casa única del terreno
