folio,foliohog,id_focos,foco_num,foco_hor,foco_min,foco_fluor,foco_led,foco_incan,foco_lugar_desc
1,1,1,1,3,0,1,0,0,La cocina
1,1,2,2,3,0,2,0,0,Sala – Comedor
1,1,3,2,0,30,2,0,0,Todos los baños
1,1,4,2,1,0,2,0,0,Todas las recámaras
1,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
1,1,6,2,6,0,2,0,0,La cochera o calle
1,1,5,1,3,0,1,0,0,El patio
1,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
2,1,1,1,1,0,1,0,0,La cocina
2,1,2,2,2,0,2,0,0,Sala – Comedor
2,1,3,1,1,0,1,0,0,Todos los baños
2,1,4,3,2,0,3,0,0,Todas las recámaras
2,1,5,0,0,0,0,0,0,El patio
2,1,6,0,0,0,0,0,0,La cochera o calle
2,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
2,1,8,1,4,0,1,0,0,Otros espacios de la vivienda
3,1,3,2,0,30,2,0,0,Todos los baños
3,1,2,2,1,0,2,0,0,Sala – Comedor
3,1,1,1,2,0,1,0,0,La cocina
3,1,4,3,2,0,3,0,0,Todas las recámaras
3,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
3,1,7,1,1,0,1,0,0,Escaleras o pasillos interiores
3,1,6,1,1,0,1,0,0,La cochera o calle
3,1,5,0,0,0,0,0,0,El patio
4,1,1,1,1,0,1,0,0,La cocina
4,1,2,2,2,0,2,0,0,Sala – Comedor
4,1,3,1,0,30,1,0,0,Todos los baños
4,1,4,1,1,0,1,0,0,Todas las recámaras
4,1,5,1,0,30,1,0,0,El patio
4,1,6,2,1,0,2,0,0,La cochera o calle
4,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
4,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
5,1,4,2,2,0,2,0,0,Todas las recámaras
5,1,3,1,1,0,1,0,0,Todos los baños
5,1,2,2,2,0,2,0,0,Sala – Comedor
5,1,1,1,1,0,1,0,0,La cocina
5,1,5,0,0,0,0,0,0,El patio
5,1,6,1,1,0,1,0,0,La cochera o calle
5,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
5,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
6,1,5,0,0,0,0,0,0,El patio
6,1,6,0,0,0,0,0,0,La cochera o calle
6,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
6,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
6,1,1,1,2,0,1,0,0,La cocina
6,1,2,1,2,0,1,0,0,Sala – Comedor
6,1,3,1,1,0,1,0,0,Todos los baños
6,1,4,2,2,0,2,0,0,Todas las recámaras
7,1,1,1,2,0,1,0,0,La cocina
7,1,2,2,2,0,2,0,0,Sala – Comedor
7,1,3,1,0,20,1,0,0,Todos los baños
7,1,4,1,0,50,1,0,0,Todas las recámaras
7,1,5,0,0,0,0,0,0,El patio
7,1,6,1,0,20,1,0,0,La cochera o calle
7,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
7,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
8,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
8,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
8,1,6,0,0,0,0,0,0,La cochera o calle
8,1,5,1,0,5,1,0,0,El patio
8,1,4,1,2,0,1,0,0,Todas las recámaras
8,1,3,1,0,20,1,0,0,Todos los baños
8,1,2,4,2,0,4,0,0,Sala – Comedor
8,1,1,1,1,30,1,0,0,La cocina
9,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
9,1,7,1,1,30,0,0,1,Escaleras o pasillos interiores
9,1,6,0,0,0,0,0,0,La cochera o calle
9,1,5,1,1,0,1,0,0,El patio
9,1,4,2,0,30,0,0,2,Todas las recámaras
9,1,3,1,0,30,0,0,1,Todos los baños
9,1,2,1,6,0,1,0,0,Sala – Comedor
9,1,1,1,3,0,1,0,0,La cocina
10,1,5,1,2,0,1,0,0,El patio
10,1,4,2,0,30,2,0,0,Todas las recámaras
10,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
10,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
10,1,6,0,0,0,0,0,0,La cochera o calle
10,1,3,2,1,0,2,0,0,Todos los baños
10,1,2,2,2,0,2,0,0,Sala – Comedor
10,1,1,1,0,20,1,0,0,La cocina
11,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
11,1,6,0,0,0,0,0,0,La cochera o calle
11,1,5,0,0,0,0,0,0,El patio
11,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
11,1,1,1,2,0,0,1,0,La cocina
11,1,2,0,0,0,0,0,0,Sala – Comedor
11,1,3,1,1,0,0,1,0,Todos los baños
11,1,4,2,2,0,0,2,0,Todas las recámaras
12,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
12,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
12,1,6,1,1,0,1,0,0,La cochera o calle
12,1,5,0,0,0,0,0,0,El patio
12,1,4,2,3,0,2,0,0,Todas las recámaras
12,1,1,1,2,0,1,0,0,La cocina
12,1,3,2,2,0,2,0,0,Todos los baños
12,1,2,3,1,0,0,3,0,Sala – Comedor
13,1,1,1,1,0,1,0,0,La cocina
13,1,2,1,0,30,1,0,0,Sala – Comedor
13,1,3,1,1,0,1,0,0,Todos los baños
13,1,4,3,0,45,3,0,0,Todas las recámaras
13,1,6,0,0,0,0,0,0,La cochera o calle
13,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
13,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
13,1,5,0,0,0,0,0,0,El patio
14,1,2,1,3,0,1,0,0,Sala – Comedor
14,1,3,1,2,0,1,0,0,Todos los baños
14,1,4,2,2,0,2,0,0,Todas las recámaras
14,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
14,1,7,1,1,0,1,0,0,Escaleras o pasillos interiores
14,1,1,1,0,20,1,0,0,La cocina
14,1,5,0,0,0,0,0,0,El patio
14,1,6,0,0,0,0,0,0,La cochera o calle
15,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
15,1,1,1,1,0,1,0,0,La cocina
15,1,3,1,0,30,1,0,0,Todos los baños
15,1,4,1,3,0,1,0,0,Todas las recámaras
15,1,5,0,0,0,0,0,0,El patio
15,1,6,0,0,0,0,0,0,La cochera o calle
15,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
15,1,2,1,2,0,1,0,0,Sala – Comedor
16,1,2,0,0,0,0,0,0,Sala – Comedor
16,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
16,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
16,1,6,0,0,0,0,0,0,La cochera o calle
16,1,5,0,0,0,0,0,0,El patio
16,1,4,1,2,0,0,1,0,Todas las recámaras
16,1,3,1,1,0,0,1,0,Todos los baños
16,1,1,1,1,30,0,1,0,La cocina
17,1,1,1,0,20,1,0,0,La cocina
17,1,3,1,0,30,1,0,0,Todos los baños
17,1,4,3,0,30,3,0,0,Todas las recámaras
17,1,5,1,1,0,1,0,0,El patio
17,1,6,0,0,0,0,0,0,La cochera o calle
17,1,2,0,0,0,0,0,0,Sala – Comedor
17,1,8,2,4,0,2,0,0,Otros espacios de la vivienda
17,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
18,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
18,1,7,1,3,0,1,0,0,Escaleras o pasillos interiores
18,1,6,0,0,0,0,0,0,La cochera o calle
18,1,5,0,0,0,0,0,0,El patio
18,1,2,1,3,0,1,0,0,Sala – Comedor
18,1,3,1,3,0,1,0,0,Todos los baños
18,1,4,1,3,0,1,0,0,Todas las recámaras
18,1,1,0,0,0,0,0,0,La cocina
19,1,3,1,2,0,1,0,0,Todos los baños
19,1,4,1,2,0,1,0,0,Todas las recámaras
19,1,5,0,0,0,0,0,0,El patio
19,1,6,0,0,0,0,0,0,La cochera o calle
19,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
19,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
19,1,2,0,0,0,0,0,0,Sala – Comedor
19,1,1,1,2,0,1,0,0,La cocina
20,1,7,2,5,0,1,0,1,Escaleras o pasillos interiores
20,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
20,1,2,2,6,0,2,0,0,Sala – Comedor
20,1,1,2,4,0,2,0,0,La cocina
20,1,6,0,0,0,0,0,0,La cochera o calle
20,1,5,0,0,0,0,0,0,El patio
20,1,4,3,5,0,0,0,3,Todas las recámaras
20,1,3,2,2,30,2,0,0,Todos los baños
21,1,5,0,0,0,0,0,0,El patio
21,1,3,1,0,30,0,0,1,Todos los baños
21,1,2,1,1,0,0,0,1,Sala – Comedor
21,1,1,1,1,0,0,0,1,La cocina
21,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
21,1,7,1,2,0,0,0,1,Escaleras o pasillos interiores
21,1,6,1,1,30,0,0,1,La cochera o calle
21,1,4,2,2,0,0,0,2,Todas las recámaras
22,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
22,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
22,1,5,0,0,0,0,0,0,El patio
22,1,6,1,2,0,1,0,0,La cochera o calle
22,1,4,1,3,0,1,0,0,Todas las recámaras
22,1,3,1,0,30,1,0,0,Todos los baños
22,1,2,2,2,0,2,0,0,Sala – Comedor
22,1,1,1,2,0,1,0,0,La cocina
23,1,5,1,2,0,1,0,0,El patio
23,1,4,2,3,0,2,0,0,Todas las recámaras
23,1,3,1,0,45,1,0,0,Todos los baños
23,1,2,1,0,20,1,0,0,Sala – Comedor
23,1,1,1,3,0,1,0,0,La cocina
23,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
23,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
23,1,6,0,0,0,0,0,0,La cochera o calle
24,1,4,1,0,30,1,0,0,Todas las recámaras
24,1,5,0,0,0,0,0,0,El patio
24,1,6,1,2,30,1,0,0,La cochera o calle
24,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
24,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
24,1,3,1,0,20,1,0,0,Todos los baños
24,1,2,0,0,0,0,0,0,Sala – Comedor
24,1,1,1,0,30,1,0,0,La cocina
25,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
25,1,6,0,0,0,0,0,0,La cochera o calle
25,1,5,0,0,0,0,0,0,El patio
25,1,4,2,2,0,2,0,0,Todas las recámaras
25,1,3,1,1,0,1,0,0,Todos los baños
25,1,2,1,2,0,1,0,0,Sala – Comedor
25,1,1,1,3,0,1,0,0,La cocina
25,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
26,1,5,1,1,0,1,0,0,El patio
26,1,4,3,3,0,3,0,0,Todas las recámaras
26,1,3,1,0,30,1,0,0,Todos los baños
26,1,2,1,2,0,1,0,0,Sala – Comedor
26,1,1,1,1,0,1,0,0,La cocina
26,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
26,1,6,0,0,0,0,0,0,La cochera o calle
26,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
27,1,1,1,4,0,1,0,0,La cocina
27,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
27,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
27,1,2,1,1,0,1,0,0,Sala – Comedor
27,1,6,0,0,0,0,0,0,La cochera o calle
27,1,5,1,5,0,1,0,0,El patio
27,1,4,3,9,0,3,0,0,Todas las recámaras
27,1,3,2,1,0,2,0,0,Todos los baños
28,1,4,4,1,0,4,0,0,Todas las recámaras
28,1,5,0,0,0,0,0,0,El patio
28,1,6,1,0,20,1,0,0,La cochera o calle
28,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
28,1,3,2,0,30,2,0,0,Todos los baños
28,1,2,1,2,0,1,0,0,Sala – Comedor
28,1,1,1,1,0,1,0,0,La cocina
28,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
29,1,4,2,0,30,2,0,0,Todas las recámaras
29,1,3,1,1,0,1,0,0,Todos los baños
29,1,2,2,2,0,2,0,0,Sala – Comedor
29,1,1,1,1,0,1,0,0,La cocina
29,1,8,1,1,0,1,0,0,Otros espacios de la vivienda
29,1,7,1,0,30,1,0,0,Escaleras o pasillos interiores
29,1,5,0,0,0,0,0,0,El patio
29,1,6,1,0,5,1,0,0,La cochera o calle
30,1,5,0,0,0,0,0,0,El patio
30,1,6,0,0,0,0,0,0,La cochera o calle
30,1,7,2,1,0,2,0,0,Escaleras o pasillos interiores
30,1,4,3,0,40,3,0,0,Todas las recámaras
30,1,3,1,0,0,1,0,0,Todos los baños
30,1,2,1,1,0,1,0,0,Sala – Comedor
30,1,1,1,2,0,1,0,0,La cocina
30,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
31,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
31,1,6,1,1,0,1,0,0,La cochera o calle
31,1,5,2,0,10,0,0,2,El patio
31,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
31,1,4,1,0,30,0,0,1,Todas las recámaras
31,1,3,1,0,15,0,0,1,Todos los baños
31,1,2,2,0,30,2,0,0,Sala – Comedor
31,1,1,0,0,0,0,0,0,La cocina
32,1,7,1,0,0,1,0,0,Escaleras o pasillos interiores
32,1,6,1,1,0,1,0,0,La cochera o calle
32,1,5,0,0,0,0,0,0,El patio
32,1,1,1,2,0,1,0,0,La cocina
32,1,2,1,5,0,1,0,0,Sala – Comedor
32,1,3,2,0,25,2,0,0,Todos los baños
32,1,4,3,0,35,3,0,0,Todas las recámaras
32,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
33,1,1,1,1,0,0,1,0,La cocina
33,1,2,1,3,0,0,1,0,Sala – Comedor
33,1,3,2,1,30,0,2,0,Todos los baños
33,1,4,1,1,0,0,1,0,Todas las recámaras
