folio,foliohog,id_eq_tec,eqt_uso,eqt_num,eqt_dia,eqt_hor,eqt_min,eq_tec_desc,eq_uso_desc
1,1,10,2,0,0,0,0,"Consola de videojuegos (Wii, Playstation, Xbox u otros)",No
1,1,9,2,0,0,0,0,"Videocasetera, DVD o Blu-ray (reproductor de discos y video)",No
1,1,8,2,0,0,0,0,"Estéreo, modular o microcomponente",No
1,1,7,1,1,30,8,0,"Radiodespertador, radio, radiograbadora",Sí
1,1,6,2,0,0,0,0,Impresora,No
1,1,4,2,0,0,0,0,"Computadora portátil (laptop, notebook)",No
1,1,12,2,0,0,0,0,Regulador No break,No
1,1,11,2,0,0,0,0,Regulador de voltaje,No
1,1,1,1,1,30,24,0,Módem,Sí
1,1,2,2,0,0,0,0,Decodificador de señal de TV,No
1,1,3,2,0,0,0,0,Tablet o ipad,No
1,1,5,2,0,0,0,0,Computadora de escritorio,No
2,1,4,1,1,15,1,0,"Computadora portátil (laptop, notebook)",Sí
2,1,3,1,1,20,1,0,Tablet o ipad,Sí
2,1,2,1,2,30,24,0,Decodificador de señal de TV,Sí
2,1,1,1,1,30,24,0,Módem,Sí
2,1,10,2,0,0,0,0,"Consola de videojuegos (Wii, Playstation, Xbox u otros)",No
2,1,11,2,0,0,0,0,Regulador de voltaje,No
2,1,12,2,0,0,0,0,Regulador No break,No
2,1,9,2,0,0,0,0,"Videocasetera, DVD o Blu-ray (reproductor de discos y video)",No
2,1,8,2,0,0,0,0,"Estéreo, modular o microcomponente",No
2,1,7,2,0,0,0,0,"Radiodespertador, radio, radiograbadora",No
2,1,6,2,0,0,0,0,Impresora,No
2,1,5,2,0,0,0,0,Computadora de escritorio,No
3,1,1,1,1,30,24,0,Módem,Sí
3,1,10,1,1,20,3,0,"Consola de videojuegos (Wii, Playstation, Xbox u otros)",Sí
3,1,9,2,0,0,0,0,"Videocasetera, DVD o Blu-ray (reproductor de discos y video)",No
3,1,7,2,0,0,0,0,"Radiodespertador, radio, radiograbadora",No
3,1,8,1,1,5,1,0,"Estéreo, modular o microcomponente",Sí
3,1,6,1,1,15,0,5,Impresora,Sí
3,1,11,2,0,0,0,0,Regulador de voltaje,No
3,1,2,1,1,30,24,0,Decodificador de señal de TV,Sí
3,1,3,2,0,0,0,0,Tablet o ipad,No
3,1,4,1,1,10,2,0,"Computadora portátil (laptop, notebook)",Sí
3,1,5,1,1,15,2,0,Computadora de escritorio,Sí
3,1,12,1,1,0,0,0,Regulador No break,Sí
4,1,12,2,0,0,0,0,Regulador No break,No
4,1,11,2,0,0,0,0,Regulador de voltaje,No
4,1,9,2,0,0,0,0,"Videocasetera, DVD o Blu-ray (reproductor de discos y video)",No
4,1,8,2,0,0,0,0,"Estéreo, modular o microcomponente",No
4,1,7,1,1,12,2,0,"Radiodespertador, radio, radiograbadora",Sí
4,1,6,2,0,0,0,0,Impresora,No
