folio,foliohog,id_panta,panta_tipo,panta_tam,panta_dia,panta_hor,panta_min,panta_uso1,panta_uso2,panta_uso3,panta_uso4,panta_uso9,panta_anio,panta_tipo_desc,panta_tam_desc
1,1,2,3,4,7,1,30,0,0,3,0,0,7,LCD o plasma,Entre 50” y 60” (Grande)
1,1,1,3,4,7,1,30,0,0,3,0,0,1,LCD o plasma,Entre 50” y 60” (Grande)
2,1,1,3,3,7,3,0,0,0,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
2,1,2,3,3,7,1,0,1,0,3,0,0,2,LCD o plasma,Entre 40” y 49” (Mediana)
3,1,2,2,4,7,7,0,0,0,3,0,0,5,LED,Entre 50” y 60” (Grande)
3,1,1,2,4,7,7,0,1,2,3,0,0,5,LED,Entre 50” y 60” (Grande)
4,1,1,3,3,7,1,0,0,0,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
5,1,1,3,3,7,2,0,1,0,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
6,1,2,3,3,7,2,0,0,0,3,0,0,1,LCD o plasma,Entre 40” y 49” (Mediana)
6,1,1,3,3,7,10,0,1,2,3,0,0,1,LCD o plasma,Entre 40” y 49” (Mediana)
7,1,1,3,4,7,2,0,0,0,3,0,0,1,LCD o plasma,Entre 50” y 60” (Grande)
8,1,1,4,1,7,1,0,0,0,3,0,0,13,Analógica,Menor a 30” (muy chica)
9,1,1,2,3,3,1,9,0,0,3,0,0,1,LED,Entre 40” y 49” (Mediana)
9,1,2,3,1,7,2,0,0,2,3,0,0,1,LCD o plasma,Menor a 30” (muy chica)
10,1,2,3,2,7,3,0,0,0,3,0,0,6,LCD o plasma,Entre 30” y 39” (Chica)
10,1,1,3,3,7,3,0,0,0,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
11,1,1,4,1,2,3,0,1,0,0,0,0,8,Analógica,Menor a 30” (muy chica)
