folio,foliohog,id_pobla,edad,nacio_dia,nacio_mes,sexo,parentesco,asiste_esc,tipo_esc,turno_esc,no_asiste,grado_inst,nivel_inst,alfabetism,edo_conyug,nivel_inst_desc,edo_conyug_desc,sexo_desc,parentesco_desc
1,1,1,43,6,2,2,1,1,1,2,0,2,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Jefe(a)
2,1,1,37,6,1,2,1,2,0,0,0,5,10,1,4,Licenciatura o profesional,Está viuda(o),Mujer,Jefe(a)
2,1,2,9,21,7,2,3,1,1,1,0,3,2,1,0,Primaria,No aplica,Mujer,Hija(o)
2,1,3,7,24,7,2,3,1,1,1,0,2,2,1,0,Primaria,No aplica,Mujer,Hija(o)
2,1,4,5,22,12,2,3,1,1,1,0,2,1,0,0,Preescolar,No aplica,Mujer,Hija(o)
3,1,1,50,11,7,1,1,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
3,1,2,42,13,5,2,2,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
3,1,3,17,20,6,1,3,1,1,1,0,2,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
3,1,4,16,24,11,2,3,1,1,1,0,2,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
4,1,1,68,27,11,2,1,2,0,0,0,3,3,1,4,Secundaria,Está viuda(o),Mujer,Jefe(a)
5,1,1,61,25,8,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
5,1,2,61,17,11,2,2,2,0,0,0,4,9,1,6,Normal de licenciatura,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
6,1,1,74,2,4,1,1,1,1,2,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
6,1,2,47,7,2,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
6,1,3,29,27,9,2,3,2,0,0,9,3,5,1,2,Normal básica,Está separada(o),Mujer,Hija(o)
6,1,4,23,7,3,2,3,2,0,0,9,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
6,1,5,11,14,8,1,3,1,1,1,0,5,2,1,0,Primaria,No aplica,Hombre,Hija(o)
6,1,6,2,21,3,2,4,0,0,0,0,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Nieta(o)
7,1,1,86,10,9,1,1,2,0,0,0,1,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
7,1,2,80,15,11,2,2,2,0,0,0,1,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
8,1,1,50,27,6,2,1,2,0,0,0,6,2,1,2,Primaria,Está separada(o),Mujer,Jefe(a)
9,1,1,22,7,3,1,1,2,0,0,11,3,4,1,1,Preparatoria o bachillerato,Vive con su pareja o en unión libre,Hombre,Jefe(a)
9,1,2,23,22,9,2,2,2,0,0,11,2,4,1,1,Preparatoria o bachillerato,Vive con su pareja o en unión libre,Mujer,Esposa(o) compañera(o)
9,1,3,6,26,3,2,3,1,1,1,0,2,1,2,0,Preescolar,No aplica,Mujer,Hija(o)
9,1,4,2,4,3,2,3,0,0,0,0,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Hija(o)
10,1,1,41,22,2,2,1,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Jefe(a)
10,1,2,42,28,1,1,8,2,0,0,0,4,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Otro
11,1,1,50,27,10,1,1,2,0,0,0,4,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
11,1,2,43,20,4,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
11,1,3,23,10,7,1,3,2,0,0,8,3,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
11,1,4,22,12,9,2,3,2,0,0,5,3,3,1,5,Secundaria,Está soltera(o),Mujer,Hija(o)
11,1,5,17,27,2,1,3,1,1,1,0,3,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
12,1,1,61,2,8,1,1,2,0,0,0,3,4,1,3,Preparatoria o bachillerato,Está divorciada(o),Hombre,Jefe(a)
12,1,2,28,15,6,1,3,2,0,0,9,4,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
13,1,1,57,29,6,1,1,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
13,1,2,60,29,10,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
13,1,3,36,4,6,2,3,2,0,0,0,3,7,1,5,Estudios técnicos o comerciales con secundaria terminada,Está soltera(o),Mujer,Hija(o)
13,1,4,33,20,6,1,3,2,0,0,0,3,3,1,3,Secundaria,Está divorciada(o),Hombre,Hija(o)
13,1,5,29,7,9,1,3,2,0,0,8,3,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
13,1,6,24,29,8,2,3,2,0,0,5,0,0,2,5,Ninguno / No aplica,Está soltera(o),Mujer,Hija(o)
14,1,1,47,16,6,1,1,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
14,1,2,47,16,2,2,2,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
