folio,foliohog,id_venti,venti_tipo,venti_otro,venti_dia,venti_ene,venti_feb,venti_mar,venti_abr,venti_may,venti_jun,venti_jul,venti_ago,venti_sep,venti_oct,venti_nov,venti_dic,venti_hor,venti_min,venti_tipo_desc
1,1,1,2,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,8,0,Techo
9,1,1,1,0.0,90,0,0,0,4,5,6,0,0,0,0,0,0,2,0,Pedestal
13,1,1,1,0.0,90,0,0,0,0,5,6,7,0,0,0,0,0,3,0,Pedestal
14,1,1,1,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,1,0,Pedestal
21,1,3,2,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,4,0,Techo
21,1,2,2,0.0,4,0,0,0,0,5,6,0,0,0,0,0,0,4,0,Techo
21,1,1,2,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,4,0,Techo
23,1,1,1,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,2,0,Pedestal
24,1,1,2,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,3,0,Techo
25,1,1,1,0.0,30,0,0,0,0,5,6,7,0,0,0,0,0,12,0,Pedestal
27,1,1,2,0.0,90,0,0,0,0,5,6,7,0,0,0,0,0,3,0,Techo
28,1,1,3,0.0,30,0,0,0,0,5,6,7,0,0,0,0,0,3,0,Torre
29,1,1,2,0.0,90,0,0,0,4,5,6,0,0,0,0,0,0,8,0,Techo
30,1,1,2,0.0,120,0,0,3,4,5,6,7,0,0,0,0,0,6,0,Techo
30,1,2,1,0.0,60,0,0,0,4,5,6,0,0,0,0,0,0,2,0,Pedestal
31,1,1,1,0.0,30,0,0,0,0,5,0,0,0,0,0,0,0,1,0,Pedestal
32,1,2,3,0.0,60,0,0,0,4,5,6,0,0,0,0,0,0,1,0,Torre
32,1,1,3,0.0,50,0,0,0,4,5,6,0,0,0,0,0,0,1,0,Torre
33,1,1,1,0.0,40,0,0,0,4,5,0,0,0,0,0,0,0,4,0,Pedestal
33,1,2,1,0.0,20,0,0,0,4,5,0,0,0,0,0,0,0,2,0,Pedestal
34,1,1,2,0.0,40,0,0,0,0,5,6,0,0,0,0,0,0,1,0,Techo
34,1,2,2,0.0,50,0,0,0,0,5,6,0,0,0,0,0,0,1,0,Techo
35,1,2,1,0.0,70,0,0,0,4,5,6,0,0,0,0,0,0,2,0,Pedestal
35,1,1,1,0.0,60,0,0,0,4,5,6,0,0,0,0,0,0,2,0,Pedestal
36,1,1,3,0.0,90,0,0,0,4,5,6,0,0,0,0,0,0,2,0,Torre
38,1,2,2,0.0,80,0,0,0,0,5,6,7,8,0,0,0,0,1,0,Techo
38,1,1,1,0.0,90,0,0,0,4,5,6,7,0,0,0,0,0,3,0,Pedestal
43,1,1,1,0.0,90,0,0,0,0,5,6,7,0,0,0,0,0,1,0,Pedestal
50,1,1,2,0.0,30,0,0,0,4,5,6,0,0,0,0,0,0,1,0,Techo
53,1,1,3,0.0,6,0,0,0,0,5,6,0,0,0,0,0,0,1,30,Torre
57,1,2,3,0.0,15,0,0,0,0,5,6,7,0,0,0,0,0,2,0,Torre
57,1,1,2,0.0,90,0,0,0,0,5,6,7,0,0,0,0,0,2,0,Techo
58,1,1,1,0.0,45,0,0,0,0,0,6,7,8,0,0,0,0,1,0,Pedestal
58,1,2,2,0.0,365,1,2,3,4,5,6,7,8,9,10,11,12,6,0,Techo
58,1,3,2,0.0,240,0,0,3,4,5,6,7,8,9,10,0,0,6,0,Techo
59,1,3,2,0.0,45,0,0,0,4,5,6,0,0,0,0,0,0,2,0,Techo
59,1,1,2,0.0,45,0,0,0,4,5,6,0,0,0,0,0,0,2,0,Techo
59,1,4,2,0.0,45,0,0,0,4,5,6,0,0,0,0,0,0,2,0,Techo
59,1,2,2,0.0,45,0,0,0,4,5,6,0,0,0,0,0,0,2,0,Techo
60,1,3,2,0.0,90,0,0,0,4,5,6,0,0,0,0,0,0,6,0,Techo
60,1,1,1,0.0,30,0,0,0,4,5,6,0,0,0,0,0,0,2,0,Pedestal
60,1,2,2,0.0,90,0,0,0,4,5,6,0,0,0,0,0,0,6,0,Techo
62,1,1,1,0.0,60,0,0,0,4,5,0,0,0,0,0,0,0,1,0,Pedestal
63,1,1,3,0.0,60,0,0,0,0,0,6,7,0,0,0,0,0,8,0,Torre
64,1,1,2,0.0,30,0,0,0,0,5,6,0,0,0,0,0,0,1,0,Techo
69,1,1,3,0.0,60,0,0,0,4,5,6,0,0,0,0,0,0,3,0,Torre
70,1,1,3,0.0,90,0,0,0,4,5,6,0,0,0,0,0,0,3,0,Torre
70,1,2,3,0.0,30,0,0,0,4,0,0,0,0,0,0,0,0,1,0,Torre
72,1,1,1,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,6,0,Pedestal
73,1,2,2,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,4,0,Techo
73,1,3,2,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,4,0,Techo
73,1,1,1,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,4,0,Pedestal
76,1,1,2,0.0,60,0,0,0,0,5,6,0,0,0,0,0,0,2,0,Techo
79,1,1,2,0.0,45,0,0,0,4,5,6,0,0,0,0,0,0,5,0,Techo
80,1,1,1,0.0,120,0,0,3,4,5,6,7,8,0,0,0,0,6,0,Pedestal
84,1,2,1,0.0,24,0,0,0,4,5,6,7,0,0,0,0,0,1,0,Pedestal
84,1,1,1,0.0,80,0,0,0,4,5,6,7,0,0,0,0,0,3,0,Pedestal
87,1,1,1,0.0,1,0,0,0,0,0,0,0,8,0,0,0,0,8,0,Pedestal
