folio,tot_hog,tam_loc,est_socio,est_dis,upm,factor_sem,region,entidad,tam_loc_desc,est_socio_desc,region_desc,entidad_desc
1,1,1,3,6,1,373,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
2,1,1,3,6,1,373,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
3,1,1,3,6,1,373,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
4,1,1,3,6,1,373,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
5,1,1,3,6,1,373,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
6,1,1,3,6,2,387,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
7,1,1,3,6,2,387,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
8,1,1,3,6,2,387,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
9,1,1,3,6,2,387,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
10,1,1,3,6,3,372,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
11,1,1,3,6,3,372,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
12,1,1,3,6,3,372,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
13,1,1,3,6,3,372,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
14,1,1,3,6,3,372,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
15,1,1,2,5,4,318,2,1,Localidades con 100 000 y más habitantes,Medio bajo,Región templada,Aguascalientes
16,1,1,2,5,4,318,2,1,Localidades con 100 000 y más habitantes,Medio bajo,Región templada,Aguascalientes
17,1,1,2,5,4,318,2,1,Localidades con 100 000 y más habitantes,Medio bajo,Región templada,Aguascalientes
18,1,1,2,5,4,318,2,1,Localidades con 100 000 y más habitantes,Medio bajo,Región templada,Aguascalientes
19,1,1,2,5,4,318,2,1,Localidades con 100 000 y más habitantes,Medio bajo,Región templada,Aguascalientes
20,1,1,3,6,5,447,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
21,1,1,3,6,5,447,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
22,1,1,3,6,5,447,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
23,1,1,3,6,5,447,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
24,1,1,3,6,5,447,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
25,1,1,3,6,6,314,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
26,1,1,3,6,6,314,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
27,1,1,3,6,6,314,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
28,1,1,3,6,6,314,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
29,1,1,3,6,6,314,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
30,1,1,3,6,7,357,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
31,1,1,3,6,7,357,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
32,1,1,3,6,7,357,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
33,1,1,3,6,7,357,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
34,1,1,3,6,7,357,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
35,1,1,3,6,8,342,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
36,1,1,3,6,8,342,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
37,1,1,3,6,8,342,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
38,1,1,3,6,8,342,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
39,1,1,3,6,9,366,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
40,1,1,3,6,9,366,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
41,1,1,3,6,9,366,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
42,1,1,3,6,9,366,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
43,1,1,3,6,9,366,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
44,1,1,3,6,10,366,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
45,1,1,3,6,10,366,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
46,1,1,3,6,10,366,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
47,1,1,3,6,10,366,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
48,1,1,3,6,10,366,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
49,1,1,3,6,11,311,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
50,1,1,3,6,11,311,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
51,1,1,3,6,11,311,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
52,1,1,3,6,12,352,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
53,1,1,3,6,12,352,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
54,1,1,3,6,12,352,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
55,1,1,3,6,12,352,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
56,1,1,3,6,12,352,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
57,1,1,4,7,13,401,2,1,Localidades con 100 000 y más habitantes,Alto,Región templada,Aguascalientes
58,1,1,4,7,13,401,2,1,Localidades con 100 000 y más habitantes,Alto,Región templada,Aguascalientes
59,1,1,4,7,13,401,2,1,Localidades con 100 000 y más habitantes,Alto,Región templada,Aguascalientes
60,1,1,4,7,13,401,2,1,Localidades con 100 000 y más habitantes,Alto,Región templada,Aguascalientes
61,1,1,4,7,13,401,2,1,Localidades con 100 000 y más habitantes,Alto,Región templada,Aguascalientes
62,1,1,3,6,14,390,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
63,1,1,3,6,14,390,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
64,1,1,3,6,14,390,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
65,1,1,3,6,14,390,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
66,1,1,3,6,14,390,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
67,1,1,3,6,15,342,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
68,1,1,3,6,15,342,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
69,1,1,3,6,15,342,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
70,1,1,3,6,15,342,2,1,Localidades con 100 000 y más habitantes,Medio alto,Región templada,Aguascalientes
