folio,foliohog,id_panta,panta_tipo,panta_tam,panta_dia,panta_hor,panta_min,panta_uso1,panta_uso2,panta_uso3,panta_uso4,panta_uso9,panta_anio
1,1,2,3,4,7,01,30, , ,3, , ,07
1,1,1,3,4,7,01,30, , ,3, , ,01
2,1,1,3,3,7,03,00, , ,3, , ,03
2,1,2,3,3,7,01,00,1, ,3, , ,02
3,1,2,2,4,7,07,00, , ,3, , ,05
3,1,1,2,4,7,07,00,1,2,3, , ,05
4,1,1,3,3,7,01,00, , ,3, , ,03
5,1,1,3,3,7,02,00,1, ,3, , ,03
6,1,2,3,3,7,02,00, , ,3, , ,01
6,1,1,3,3,7,10,00,1,2,3, , ,01
7,1,1,3,4,7,02,00, , ,3, , ,01
8,1,1,4,1,7,01,00, , ,3, , ,13
9,1,1,2,3,3,01,09, , ,3, , ,01
9,1,2,3,1,7,02,00, ,2,3, , ,01
10,1,2,3,2,7,03,00, , ,3, , ,06
10,1,1,3,3,7,03,00, , ,3, , ,03
11,1,1,4,1,2,03,00,1, , , , ,08
11,1,2,2,2,7,06,00, ,2,3, , ,02
12,1,1,3,3,7,03,00, , ,3, , ,01
13,1,2,4,1,7,06,00, ,2,3, , ,05
13,1,3,4,1,1,04,00, , ,3, , ,11
13,1,1,2,2,7,10,00,1,2,3, , ,01
14,1,3,3,2,7,06,00, ,2,3, , ,99
14,1,2,3,1,7,01,00, , ,3, , ,99
14,1,1,3,1,7,01,00, , ,3, , ,99
15,1,1,3,2,7,02,00, ,2, , , ,02
16,1,1,3,1,7,01,00, , , ,4, ,04
17,1,2,3,1,7,02,00, , ,3, , ,02
17,1,1,3,1,7,03,00, ,2,3, , ,02
18,1,2,4,3,7,02,00, ,2, , , ,01
18,1,1,4,9,7,10,00,1,2,3, , ,01
19,1,1,4,2,7,05,00, ,2,3, , ,05
20,1,1,2,2,7,02,00, , ,3, , ,02
20,1,3,3,2,7,01,00, , ,3, , ,02
20,1,2,3,4,5,05,00, , ,3, , ,01
21,1,2,3,2,7,04,00, , ,3, , ,03
21,1,1,3,2,7,03,00, , ,3, , ,04
22,1,2,3,2,7,02,00, , ,3, , ,01
22,1,1,3,3,7,12,00,1,2,3, , ,02
23,1,1,3,3,7,04,00, , ,3, , ,08
23,1,2,3,3,7,04,00, ,2,3, , ,12
24,1,1,3,2,7,02,00, , ,3, , ,07
25,1,2,4,1,7,01,00, , ,3, , ,10
25,1,1,2,3,7,02,00, , ,3, , ,05
26,1,2,3,2,7,10,00, , ,3,4, ,01
26,1,1,4,3,7,05,00, ,2,3, , ,10
27,1,2,3,1,7,08,00,1,2,3,4, ,01
27,1,1,2,4,7,05,00,1, ,3,4, ,02
28,1,2,2,2,7,01,00, , ,3, , ,03
28,1,1,2,2,7,01,00, , ,3, , ,03
29,1,1,4,3,5,01,00, , ,3, , ,20
30,1,2,2,2,7,02,00, , ,3, , ,01
30,1,1,3,2,7,01,00, , ,3, , ,02
31,1,1,4,1,7,02,30, , ,3, , ,04
32,1,2,3,2,7,02,00, , ,3, , ,05
32,1,1,2,1,7,01,00, , ,3, , ,04
33,1,2,2,3,3,01,00, , ,3, , ,02
33,1,3,2,3,4,04,00,1, ,3, , ,08
33,1,1,2,2,7,03,00, , ,3, , ,04
34,1,1,3,1,7,00,30, , ,3, , ,02
34,1,2,4,1,7,02,30, ,2,3, , ,10
35,1,1,4,1,7,02,00, , ,3, , ,20
36,1,1,2,1,7,01,00, , ,3, , ,03
36,1,2,3,1,7,03,00, , ,3, , ,07
37,1,1,3,1,7,07,00, ,2,3, , ,05
38,1,2,3,1,2,03,00,1, , , , ,05
38,1,1,2,2,7,03,00,1,2,3, , ,15
39,1,1,2,1,7,04,00,1, ,3, , ,02
39,1,2,4,2,7,04,00,1, ,3, , ,15
40,1,1,4,2,7,06,00,1, ,3, , ,13
41,1,1,2,3,7,05,00, ,2,3, , ,02
42,1,1,3,2,7,02,00, , ,3, , ,01
43,1,1,3,1,7,02,00, , ,3, , ,02
