folio,foliohog,id_venti,venti_tipo,venti_otro,venti_dia,venti_ene,venti_feb,venti_mar,venti_abr,venti_may,venti_jun,venti_jul,venti_ago,venti_sep,venti_oct,venti_nov,venti_dic,venti_hor,venti_min
1,1,1,2, ,60, , , , ,05,06, , , , , , ,08,00
9,1,1,1, ,90, , , ,04,05,06, , , , , , ,02,00
13,1,1,1, ,90, , , , ,05,06,07, , , , , ,03,00
14,1,1,1, ,60, , , , ,05,06, , , , , , ,01,00
21,1,3,2, ,60, , , , ,05,06, , , , , , ,04,00
21,1,2,2, ,4, , , , ,05,06, , , , , , ,04,00
21,1,1,2, ,60, , , , ,05,06, , , , , , ,04,00
23,1,1,1, ,60, , , , ,05,06, , , , , , ,02,00
24,1,1,2, ,60, , , , ,05,06, , , , , , ,03,00
25,1,1,1, ,30, , , , ,05,06,07, , , , , ,12,00
27,1,1,2, ,90, , , , ,05,06,07, , , , , ,03,00
28,1,1,3, ,30, , , , ,05,06,07, , , , , ,03,00
29,1,1,2, ,90, , , ,04,05,06, , , , , , ,08,00
30,1,1,2, ,120, , ,03,04,05,06,07, , , , , ,06,00
30,1,2,1, ,60, , , ,04,05,06, , , , , , ,02,00
31,1,1,1, ,30, , , , ,05, , , , , , , ,01,00
32,1,2,3, ,60, , , ,04,05,06, , , , , , ,01,00
32,1,1,3, ,50, , , ,04,05,06, , , , , , ,01,00
33,1,1,1, ,40, , , ,04,05, , , , , , , ,04,00
33,1,2,1, ,20, , , ,04,05, , , , , , , ,02,00
34,1,1,2, ,40, , , , ,05,06, , , , , , ,01,00
34,1,2,2, ,50, , , , ,05,06, , , , , , ,01,00
35,1,2,1, ,70, , , ,04,05,06, , , , , , ,02,00
35,1,1,1, ,60, , , ,04,05,06, , , , , , ,02,00
36,1,1,3, ,90, , , ,04,05,06, , , , , , ,02,00
38,1,2,2, ,80, , , , ,05,06,07,08, , , , ,01,00
38,1,1,1, ,90, , , ,04,05,06,07, , , , , ,03,00
43,1,1,1, ,90, , , , ,05,06,07, , , , , ,01,00
50,1,1,2, ,30, , , ,04,05,06, , , , , , ,01,00
53,1,1,3, ,6, , , , ,05,06, , , , , , ,01,30
57,1,2,3, ,15, , , , ,05,06,07, , , , , ,02,00
